start_ns,duration_ns,status
1780601566122925000,4400583,200
1780601566248190000,4308458,200
1780601566373162000,4233333,200
1780601566497817000,2976333,200
1780601566623250000,7957875,200
1780601566747856000,5932333,200
1780601566872897000,3794417,200
1780601566998293000,6322750,200
1780601567123206000,2893291,200
1780601567247840000,4065583,200
1780601567372912000,5172375,200
1780601567498189000,5788500,200
1780601567622897000,4186500,200
1780601567748162000,3676084,200
1780601567873165000,5138917,200
1780601567998167000,5717625,200
1780601568123165000,4379875,200
1780601568248174000,5032792,200
1780601568373154000,5478042,200
1780601568498148000,4442458,200
1780601568623159000,5643334,200
1780601568748151000,5959459,200
1780601568872930000,4027125,200
1780601568998154000,5047250,200
1780601569123175000,5279208,200
1780601569248152000,16256459,200
1780601569374338000,6514834,200
1780601569498140000,3228250,200
1780601569623075000,5455000,200
1780601569748215000,5550083,200
1780601569873154000,4537042,200
1780601569998122000,7709625,200
1780601570122843000,5884125,200
1780601570248112000,4411166,200
1780601570372829000,3712375,200
1780601570498123000,13095125,200
1780601570623159000,5277333,200
1780601570747748000,6560750,200
1780601570873171000,7487500,200
1780601570998131000,2839375,200
1780601571123105000,3725334,200
1780601571248093000,4971208,200
1780601571373224000,4929875,200
1780601571497755000,3306208,200
1780601571623112000,5346625,200
1780601571748124000,5641875,200
1780601571873075000,5272500,200
1780601571998137000,3627959,200
1780601572122803000,3723625,200
1780601572248131000,2639291,200
1780601572373111000,4604250,200
1780601572498085000,4156708,200
1780601572623176000,7791209,200
1780601572748122000,6355875,200
1780601572872826000,5330625,200
1780601572997086000,4121292,200
1780601573123080000,2567958,200
1780601573247673000,3922750,200
1780601573372832000,4579291,200
1780601573497686000,5445084,200
1780601573623074000,4534792,200
1780601573747690000,5915084,200
1780601573873063000,4338167,200
1780601573998043000,4793417,200
1780601574123065000,3355375,200
1780601574247521000,3951166,200
1780601574372758000,4712541,200
1780601574498060000,5671167,200
1780601574623055000,4594417,200
1780601574748084000,6134042,200
1780601574873050000,3940458,200
1780601574998022000,5253708,200
1780601575122723000,5984875,200
1780601575248018000,4598625,200
1780601575373056000,4817292,200
1780601575498047000,5524084,200
1780601575623169000,5783208,200
1780601575747492000,6325500,200
1780601575873070000,4809584,200
1780601575997998000,4558167,200
1780601576122716000,4066417,200
1780601576248028000,5049750,200
1780601576373016000,5194334,200
1780601576498016000,3448083,200
1780601576622710000,9689583,200
1780601576747284000,6214625,200
1780601576872704000,4210208,200
1780601576998020000,5376208,200
1780601577122710000,4731875,200
1780601577247066000,4198875,200
1780601577372625000,3833875,200
1780601577498002000,3537291,200
1780601577623016000,5744541,200
1780601577747993000,5299583,200
1780601577873000000,4329292,200
1780601577998004000,5377459,200
1780601578122642000,4104375,200
1780601578247595000,4116958,200
1780601578372993000,5224292,200
1780601578497570000,5666250,200
1780601578623007000,4725416,200
1780601578747974000,5528875,200
1780601578872979000,3521000,200
1780601578997969000,4694375,200
1780601579122922000,3836541,200
1780601579247554000,4487375,200
1780601579372704000,4892125,200
1780601579497965000,4700459,200
1780601579622961000,5808959,200
1780601579747947000,4925500,200
1780601579872110000,3529625,200
1780601579997964000,5580292,200
1780601580122657000,3620583,200
1780601580247930000,5900791,200
1780601580372894000,4343542,200
1780601580497915000,4062667,200
1780601580622628000,4261542,200
1780601580747933000,4415583,200
1780601580872623000,5109667,200
1780601580997508000,2029667,200
1780601581122709000,4521000,200
1780601581247532000,5594250,200
1780601581372902000,4732250,200
1780601581496990000,4881375,200
1780601581622973000,6043375,200
1780601581747576000,4727500,200
1780601581872904000,6165875,200
1780601581997962000,5231292,200
1780601582122930000,3212833,200
1780601582247904000,5258541,200
1780601582372900000,7001125,200
1780601582497894000,3500167,200
1780601582622897000,2950750,200
1780601582747906000,5048250,200
1780601582872872000,3905667,200
1780601582996932000,4349041,200
1780601583122860000,2358416,200
1780601583247475000,4113750,200
1780601583372976000,3227667,200
1780601583497510000,4823458,200
1780601583622920000,5313500,200
1780601583747854000,3913167,200
1780601583872842000,3973625,200
1780601583997878000,2708084,200
1780601584122942000,4013208,200
1780601584247833000,3465375,200
1780601584372925000,3978458,200
1780601584497461000,3886709,200
1780601584622940000,14284625,200
1780601584747858000,5188208,200
1780601584872888000,4844791,200
1780601584997475000,3580375,200
1780601585122814000,4469083,200
1780601585247464000,6446125,200
1780601585372885000,3878459,200
1780601585497464000,4785500,200
1780601585622872000,5026625,200
1780601585747851000,3393583,200
1780601585872806000,2165625,200
1780601586001769000,13751083,200
1780601586122842000,4558917,200
1780601586247780000,5846417,200
1780601586372808000,5057500,200
1780601586497828000,3917792,200
1780601586622851000,10959500,200
1780601586747429000,5088667,200
1780601586872948000,6049166,200
1780601586997813000,5662334,200
1780601587122503000,4456958,200
1780601587247824000,3102167,200
1780601587372794000,4727125,200
1780601587497812000,4894791,200
1780601587622496000,5343750,200
1780601587747789000,3377625,200
1780601587872807000,5545667,200
1780601587997811000,4491208,200
1780601588122779000,3468375,200
1780601588247762000,5286334,200
1780601588372420000,4040417,200
1780601588497769000,3319209,200
1780601588622475000,4741791,200
1780601588747778000,4979542,200
1780601588872783000,6060583,200
1780601588997808000,5379041,200
1780601589122785000,2690709,200
1780601589247760000,4957000,200
1780601589372748000,4877167,200
1780601589497372000,4392667,200
1780601589622845000,5532333,200
1780601589747857000,5613959,200
1780601589872741000,2353166,200
1780601589997360000,5122083,200
1780601590122737000,2411042,200
1780601590247743000,6011250,200
1780601590372733000,4103917,200
1780601590497763000,3982291,200
1780601590622404000,3867167,200
1780601590747732000,3365042,200
1780601590872740000,4761250,200
1780601590997238000,3596459,200
1780601591122719000,2095334,200
1780601591247317000,4470041,200
1780601591372802000,5404333,200
1780601591497721000,3348958,200
1780601591622731000,5246791,200
1780601591747784000,4976042,200
1780601591872607000,5135916,200
1780601591997310000,4411208,200
1780601592122780000,16500500,200
1780601592247739000,6019834,200
1780601592371984000,3682125,200
1780601592497719000,4915333,200
1780601592622709000,6413417,200
1780601592747760000,3622833,200
1780601592872545000,4742000,200
1780601592997735000,4146708,200
1780601593122336000,1989750,200
1780601593247657000,4144500,200
1780601593372689000,4202625,200
1780601593497668000,3834792,200
1780601593622694000,5429041,200
1780601593747251000,16306042,200
1780601593872691000,3680000,200
1780601593996818000,6645250,200
1780601594122693000,4422250,200
1780601594247637000,3041875,200
1780601594372633000,3892292,200
1780601594497642000,5404250,200
1780601594622714000,6061584,200
1780601594747713000,4109709,200
1780601594872701000,5369875,200
1780601594997641000,4405834,200
1780601595122655000,4180208,200
1780601595247653000,4972917,200
1780601595372713000,7010458,200
1780601595497625000,4469709,200
1780601595622735000,7006417,200
1780601595747718000,5684417,200
1780601595872695000,5693500,200
1780601595997647000,4602083,200
1780601596122071000,5200959,200
1780601596247612000,3617583,200
1780601596372599000,4215750,200
1780601596497200000,4715917,200
1780601596622671000,5764375,200
1780601596747653000,6597583,200
1780601596871854000,4077291,200
1780601596997625000,5132875,200
1780601597122609000,3925417,200
1780601597247598000,3606708,200
1780601597372298000,4005916,200
1780601597497186000,4979334,200
1780601597622607000,6907000,200
1780601597747620000,5512291,200
1780601597872597000,5338958,200
1780601597997625000,5237208,200
1780601598122562000,4935750,200
1780601598247171000,10980792,200
1780601598372584000,4330042,200
1780601598497633000,4885625,200
1780601598622611000,5524833,200
1780601598747588000,5338041,200
1780601598872056000,4668417,200
1780601598997593000,4595709,200
1780601599122231000,4208416,200
1780601599247596000,4343958,200
1780601599372669000,3966167,200
1780601599497570000,4391292,200
1780601599622599000,6044625,200
1780601599747613000,4852417,200
1780601599872585000,3474875,200
1780601599997567000,5431666,200
1780601600122540000,4186333,200
1780601600247584000,7579333,200
1780601600372532000,2455666,200
1780601600497552000,4654792,200
1780601600622564000,5493792,200
1780601600747562000,5104083,200
1780601600872289000,4740625,200
1780601600997535000,3714583,200
1780601601122539000,3451958,200
1780601601247536000,2653542,200
1780601601372577000,5745458,200
1780601601497559000,14965584,200
1780601601622566000,4528958,200
1780601601747558000,13216958,200
1780601601872557000,4859000,200
1780601601997099000,3743833,200
