start_ns,duration_ns,status
1780601516006806000,3920959,201
1780601516131819000,4808917,201
1780601516256774000,4219792,201
1780601516381818000,15479250,201
1780601516506123000,3334250,201
1780601516631752000,3894000,201
1780601516756817000,4129375,201
1780601516881773000,3762875,201
1780601517006551000,3102458,201
1780601517131816000,4832875,201
1780601517256795000,4517625,201
1780601517381784000,4799875,201
1780601517506823000,4891958,201
1780601517631858000,5047208,201
1780601517756826000,5246333,201
1780601517881789000,2632792,201
1780601518006765000,4930666,201
1780601518131750000,3652166,201
1780601518256759000,3653625,201
1780601518381738000,4186584,201
1780601518506757000,3796375,201
1780601518631766000,5089459,201
1780601518756748000,4675917,201
1780601518881757000,4678833,201
1780601519006723000,3821958,201
1780601519131765000,4337792,201
1780601519256733000,3805541,201
1780601519381657000,5492375,201
1780601519506727000,4572084,201
1780601519631728000,4597333,201
1780601519756768000,6028583,201
1780601519880929000,4198583,201
1780601520005891000,8426500,201
1780601520131692000,2768708,201
1780601520256735000,9719333,201
1780601520381717000,4380417,201
1780601520506723000,1798792,201
1780601520631746000,5316667,201
1780601520756085000,4793500,201
1780601520881738000,4743375,201
1780601521006726000,2351375,201
1780601521131730000,3638959,201
1780601521256741000,14297542,201
1780601521381727000,3842209,201
1780601521506786000,4372666,201
1780601521631686000,4740375,201
1780601521756731000,4194333,201
1780601521881808000,3217250,201
1780601522006668000,3109500,201
1780601522131700000,3880250,201
1780601522256697000,3926125,201
1780601522381720000,4861166,201
1780601522506711000,13359917,201
1780601522631683000,3324542,201
1780601522756708000,4638750,201
1780601522881699000,3863042,201
1780601523005797000,1705625,201
1780601523131646000,2998541,201
1780601523256678000,4738750,201
1780601523380797000,8205458,201
1780601523506692000,2977709,201
1780601523631751000,5833375,201
1780601523756686000,3420875,201
1780601523881159000,3350292,201
1780601524006231000,3696500,201
1780601524131661000,18740333,201
1780601524255905000,2426750,201
1780601524381652000,15516458,201
1780601524506695000,4117541,201
1780601524631668000,3322750,201
1780601524756691000,5563125,201
1780601524881701000,6392791,201
1780601525006611000,3246042,201
1780601525131612000,3723750,201
1780601525256640000,16337583,201
1780601525381639000,6013125,201
1780601525506655000,4593042,201
1780601525631605000,21582041,201
1780601525756602000,4634375,201
1780601525881677000,4948416,201
1780601526006628000,3855750,201
1780601526131617000,4103417,201
1780601526256634000,5242709,201
1780601526381433000,4837625,201
1780601526505874000,3561917,201
1780601526635064000,6116458,201
1780601526756390000,4012000,201
1780601526881622000,5279167,201
1780601527006563000,3975000,201
1780601527131553000,4389666,201
1780601527255705000,3738500,201
1780601527381579000,4601000,201
1780601527506574000,4261042,201
1780601527631601000,3974209,201
1780601527756551000,3828791,201
1780601527881650000,5469916,201
1780601528006577000,3802791,201
1780601528131570000,4729417,201
1780601528256543000,4798208,201
1780601528381557000,2306916,201
1780601528506576000,3719125,201
1780601528631548000,4218375,201
1780601528755556000,5644750,201
1780601528881627000,5796500,201
1780601529006559000,3555708,201
1780601529131583000,4004000,201
1780601529256593000,3468583,201
1780601529381539000,4561041,201
1780601529506556000,4869292,201
1780601529631609000,5501334,201
1780601529756571000,4483291,201
1780601529880647000,3124292,201
1780601530006549000,3505458,201
1780601530131551000,5077666,201
1780601530256505000,4026792,201
1780601530381529000,4820042,201
1780601530506546000,4717375,201
1780601530631569000,8588000,201
1780601530755654000,5666584,201
1780601530881261000,4989625,201
1780601531006508000,2027000,201
1780601531131515000,3969875,201
1780601531256542000,4506792,201
1780601531381561000,5420125,201
1780601531506493000,3755792,201
1780601531630900000,4627750,201
1780601531756539000,4484458,201
1780601531881546000,5847375,201
1780601532006221000,6545208,201
1780601532130999000,3382167,201
1780601532256523000,2330750,201
1780601532381494000,5849584,201
1780601532506497000,4794458,201
1780601532631515000,4034833,201
1780601532758193000,6688166,201
1780601532881479000,3555292,201
1780601533006465000,2063667,201
1780601533131472000,2050292,201
1780601533256461000,3720708,201
1780601533381451000,2898291,201
1780601533506489000,3600750,201
1780601533631464000,4253750,201
1780601533756502000,4881000,201
1780601533881492000,5508083,201
1780601534006489000,6151542,201
1780601534131454000,4227167,201
1780601534256482000,3341083,201
1780601534381436000,4306084,201
1780601534506505000,4877625,201
1780601534631445000,4653042,201
1780601534756449000,4166958,201
1780601534881927000,3463708,201
1780601535018451000,4347291,201
1780601535130718000,5401250,201
1780601535255913000,3103292,201
1780601535381447000,6723125,201
1780601535506494000,2660500,201
1780601535631468000,4327542,201
1780601535755659000,4979167,201
1780601535881348000,2606958,201
1780601536006394000,2578792,201
1780601536131401000,4288125,201
1780601536256425000,6505166,201
1780601536380496000,3039084,201
1780601536505601000,3278916,201
1780601536631448000,5094875,201
1780601536755748000,4853458,201
1780601536881416000,7445667,201
1780601537006437000,4489625,201
1780601537131395000,3624333,201
1780601537256449000,4301000,201
1780601537381402000,8976250,201
1780601537506388000,2416209,201
1780601537630745000,2504917,201
1780601537756416000,4882916,201
1780601537881374000,5262042,201
1780601538006367000,3038250,201
1780601538131378000,4189958,201
1780601538256394000,5040208,201
1780601538381360000,4230375,201
1780601538506427000,4209667,201
1780601538631392000,7183583,201
1780601538755613000,5209833,201
1780601538881395000,3466250,201
1780601539006347000,2644792,201
1780601539131338000,4412625,201
1780601539256362000,3942500,201
1780601539381420000,4909041,201
1780601539506352000,4947334,201
1780601539631382000,4634375,201
1780601539756380000,3438917,201
1780601539880681000,3673000,201
1780601540006317000,3219958,201
1780601540131366000,5089750,201
1780601540256351000,3155542,201
1780601540381311000,4117625,201
1780601540506353000,5707709,201
1780601540631355000,4823584,201
1780601540756354000,4655291,201
1780601540886592000,10881084,201
1780601541006352000,3012084,201
1780601541131311000,3215833,201
1780601541256366000,3727792,201
1780601541381327000,4141042,201
1780601541506351000,4894917,201
1780601541631377000,6836125,201
1780601541756585000,7088333,201
1780601541881407000,6335458,201
1780601542006320000,1785250,201
1780601542130495000,2349875,201
1780601542256306000,6133167,201
1780601542381302000,3824291,201
1780601542506351000,3578875,201
1780601542631371000,4172166,201
1780601542756335000,4916084,201
1780601542880357000,5160083,201
1780601543006297000,3050417,201
1780601543131266000,2069792,201
1780601543256286000,2561959,201
1780601543381282000,4549541,201
1780601543505752000,4493084,201
1780601543631283000,5596917,201
1780601543756266000,5434500,201
1780601543881305000,5259250,201
1780601544006288000,5220708,201
1780601544131248000,3937875,201
1780601544256285000,4772042,201
1780601544381242000,4700500,201
1780601544506287000,2727167,201
1780601544631323000,5416541,201
1780601544756328000,5391958,201
1780601544880674000,6527042,201
1780601545005486000,2785375,201
1780601545131255000,3019000,201
1780601545256269000,4140375,201
1780601545381254000,5174084,201
1780601545506230000,3842334,201
1780601545631241000,4111333,201
1780601545756247000,6748334,201
1780601545881261000,3479917,201
1780601546006380000,7404208,201
1780601546131212000,3966125,201
1780601546256184000,6364000,201
1780601546381228000,4091667,201
1780601546506275000,3556583,201
1780601546631299000,4709500,201
1780601546756274000,4969083,201
1780601546881245000,3666125,201
1780601547006254000,3824791,201
1780601547131225000,10710334,201
1780601547255534000,2114458,201
1780601547381234000,4137041,201
1780601547505888000,5467042,201
1780601547631314000,5003125,201
1780601547755429000,5170083,201
1780601547880344000,7418417,201
1780601548006202000,3173166,201
1780601548131190000,4249125,201
1780601548256235000,5595625,201
1780601548381203000,4334875,201
1780601548506199000,3246916,201
1780601548631219000,6758458,201
1780601548756230000,5050125,201
1780601548881265000,5366292,201
1780601549006154000,2747750,201
1780601549131163000,1834250,201
1780601549256196000,4833375,201
1780601549381222000,4003959,201
1780601549506200000,5274167,201
1780601549631160000,4961583,201
1780601549755272000,4962667,201
1780601549881211000,2602583,201
1780601550006133000,4107541,201
1780601550131169000,4470417,201
1780601550256220000,6452708,201
1780601550380436000,2818000,201
1780601550506156000,4837417,201
1780601550631150000,5027500,201
1780601550756193000,4770167,201
1780601550880490000,5209167,201
1780601551006135000,2194666,201
1780601551131146000,4246542,201
1780601551256155000,2745083,201
1780601551381219000,7080792,201
1780601551506112000,3001334,201
1780601551631173000,5539958,201
1780601551756184000,5276083,201
1780601551880487000,4554500,201
1780601552006162000,6006042,201
1780601552131121000,2440583,201
1780601552256145000,3733917,201
1780601552381076000,10110250,201
1780601552505431000,4304000,201
1780601552630302000,5364792,201
1780601552756102000,4011250,201
1780601552881222000,6482875,201
1780601553006206000,3634542,201
1780601553131089000,1712000,201
1780601553256151000,5236000,201
1780601553381172000,4214625,201
1780601553506093000,4857292,201
1780601553631129000,5181250,201
1780601553755978000,4379042,201
1780601553881105000,3554792,201
