start_ns,duration_ns,status
1780601978740103000,30364250,201
1780601978770499000,927291,201
1780601978771440000,627500,201
1780601978772076000,634584,201
1780601978772718000,722750,201
1780601978773448000,565875,201
1780601978774021000,573708,201
1780601978774601000,540166,201
1780601978775149000,528833,201
1780601978775689000,505875,201
1780601978776198000,492709,201
1780601978776696000,505292,201
1780601978777206000,507417,201
1780601978777717000,602916,201
1780601978778327000,572667,201
1780601978778905000,999917,201
1780601978779910000,680125,201
1780601978780596000,440500,201
1780601978781039000,468916,201
1780601978781514000,489959,201
