start_ns,duration_ns,status
1780601465892135000,3509500,201
1780601466016653000,4790834,201
1780601466142024000,4073375,201
1780601466267005000,3972208,201
1780601466392041000,5690500,201
1780601466517048000,6227208,201
1780601466641984000,3922625,201
1780601466766995000,4174375,201
1780601466892047000,4208125,201
1780601467016943000,5876292,201
1780601467141692000,4549375,201
1780601467266656000,7453958,201
1780601467391985000,4548709,201
1780601467517080000,4975791,201
1780601467641103000,2767459,201
1780601467767040000,5075709,201
1780601467892000000,4695042,201
1780601468016627000,6109334,201
1780601468141993000,5080250,201
1780601468266634000,4570459,201
1780601468391663000,5065375,201
1780601468516990000,4505917,201
1780601468641511000,4353500,201
1780601468767000000,4197250,201
1780601468890966000,3607333,201
1780601469016673000,4580833,201
1780601469141642000,4715083,201
1780601469266998000,5000500,201
1780601469392039000,4908917,201
1780601469516967000,5368125,201
1780601469641969000,4251208,201
1780601469766997000,3742833,201
1780601469891011000,4162542,201
1780601470016980000,5060834,201
1780601470142064000,4431459,201
1780601470266919000,4901708,201
1780601470391927000,4422708,201
1780601470516581000,4991875,201
1780601470641945000,5643875,201
1780601470766628000,5715958,201
1780601470891979000,3717250,201
1780601471016949000,2289208,201
1780601471141635000,4472041,201
1780601471266984000,5102875,201
1780601471391182000,3609500,201
1780601471516973000,4892250,201
1780601471641972000,3078625,201
1780601471766542000,4160959,201
1780601471892039000,2870500,201
1780601472016910000,4540709,201
1780601472141927000,4431083,201
1780601472266567000,5637000,201
1780601472391938000,5120542,201
1780601472516519000,4334000,201
1780601472641896000,5458875,201
1780601472766945000,5820958,201
1780601472892018000,12681542,201
1780601473016991000,3111375,201
1780601473141897000,4783125,201
1780601473266946000,5645584,201
1780601473391887000,4934833,201
1780601473517144000,3396958,201
1780601473641949000,5097000,201
1780601473766888000,4870708,201
1780601473891884000,3216291,201
1780601474016857000,4064666,201
1780601474141875000,4345208,201
1780601474266496000,3762458,201
1780601474391941000,4880333,201
1780601474515929000,5535167,201
1780601474641874000,5661292,201
1780601474766878000,4840167,201
1780601474891867000,6398208,201
1780601475016839000,4074917,201
1780601475141850000,5009583,201
1780601475266871000,4211000,201
1780601475391850000,5080500,201
1780601475516857000,24163417,201
1780601475641893000,5290042,201
1780601475766695000,4858334,201
1780601475891888000,4107333,201
1780601476016454000,3653083,201
1780601476141841000,4365625,201
1780601476266842000,4164709,201
1780601476391511000,3703583,201
1780601476516838000,5520583,201
1780601476641849000,5190584,201
1780601476766462000,3966667,201
1780601476891475000,4217625,201
1780601477016408000,2657750,201
1780601477141827000,4576000,201
1780601477266834000,5448292,201
1780601477391860000,4965667,201
1780601477516825000,3708083,201
1780601477641834000,5400250,201
1780601477766824000,5570500,201
1780601477891859000,7665667,201
1780601478016812000,5659875,201
1780601478141764000,4133125,201
1780601478266926000,6241958,201
1780601478391824000,5595250,201
1780601478517931000,5664459,201
1780601478641470000,6154750,201
1780601478766741000,4447791,201
1780601478891860000,4180375,201
1780601479016777000,4172292,201
1780601479141501000,5327958,201
1780601479266353000,5432959,201
1780601479391620000,4451542,201
1780601479516363000,4998667,201
1780601479641810000,3313542,201
1780601479766796000,5686459,201
1780601479891495000,2807875,201
1780601480016786000,4366834,201
1780601480141782000,4568792,201
1780601480266764000,4132000,201
1780601480391787000,5226292,201
1780601480516392000,4807084,201
1780601480641810000,5660208,201
1780601480766773000,5038083,201
1780601480892127000,4238916,201
