start_ns,duration_ns,status
1780601697645584000,13646333,200
1780601697659247000,1039667,200
1780601697660297000,899541,200
1780601697661206000,824333,200
1780601697662055000,737333,200
1780601697662795000,793875,200
1780601697663608000,643417,200
1780601697664261000,652000,200
1780601697664930000,655708,200
1780601697665589000,703209,200
1780601697666295000,605000,200
1780601697666904000,523625,200
1780601697667430000,619542,200
1780601697668061000,512250,200
1780601697668576000,723833,200
1780601697669304000,400500,200
1780601697669708000,405208,200
1780601697670120000,317875,200
1780601697670441000,417666,200
1780601697670861000,310542,200
