start_ns,duration_ns,status
1780601792434982000,71147083,200
1780601792434948000,28943542,200
1780601792434918000,66172125,200
1780601792434957000,98562834,200
1780601792434971000,96097042,200
1780601792434920000,68723042,200
1780601792434952000,96125542,200
1780601792434954000,68245208,200
1780601792435376000,75472500,200
1780601792435376000,71412458,200
1780601792435380000,87821833,200
1780601792435379000,90947083,200
1780601792435379000,57330125,200
1780601792435384000,75483708,200
1780601792435383000,75481375,200
1780601792435384000,75431709,200
1780601792435386000,63544125,200
1780601792435388000,71495000,200
1780601792435387000,28486625,200
1780601792435388000,72726333,200
1780601792463896000,933875,200
1780601792463899000,975959,200
1780601792464836000,680500,200
1780601792464882000,761875,200
1780601792465528000,537666,200
1780601792465648000,479500,200
1780601792466073000,945750,200
1780601792466130000,857959,200
1780601792466995000,1063416,200
1780601792467024000,1113834,200
1780601792468068000,1620583,200
1780601792468143000,1495833,200
1780601792469643000,948625,200
1780601792469692000,861083,200
1780601792470573000,1019917,200
1780601792470601000,837917,200
1780601792471457000,1015584,200
1780601792471597000,816125,200
1780601792472417000,4092708,200
1780601792472476000,4013750,200
1780601792476503000,4449834,200
1780601792476516000,10432916,200
1780601792480966000,3518209,200
1780601792484496000,4392333,200
1780601792486958000,3563167,200
1780601792488894000,10019708,200
1780601792490540000,8688833,200
1780601792492718000,6436333,200
1780601792498946000,26605750,200
1780601792498958000,32107875,200
1780601792499158000,4450583,200
1780601792499252000,6587750,200
1780601792501099000,4786291,200
1780601792503213000,18668334,200
1780601792503616000,7231292,200
1780601792503647000,7335458,200
1780601792505849000,18762750,200
1780601792505906000,15048917,200
1780601792506137000,23221625,200
1780601792506792000,4094709,200
1780601792506886000,22262292,200
1780601792508119000,7460959,200
1780601792510838000,15835416,200
1780601792510869000,29641208,200
1780601792510885000,15832209,200
1780601792510900000,29588584,200
1780601792510905000,11672291,200
1780601792510912000,12302125,200
1780601792510993000,18376833,200
1780601792515593000,24883000,200
1780601792520966000,1782417,200
1780601792521891000,4387084,200
1780601792522582000,1385291,200
1780601792522752000,427917,200
1780601792523183000,1961583,200
1780601792523205000,1423334,200
1780601792523219000,8201125,200
1780601792523970000,1148208,200
1780601792524628000,1631750,200
1780601792524644000,1730750,200
1780601792525123000,2678334,200
1780601792525148000,2467000,200
1780601792525570000,18075375,200
1780601792526274000,2214292,200
1780601792526282000,21255458,200
1780601792526327000,21250291,200
1780601792526378000,21193000,200
1780601792526677000,23970208,200
1780601792526727000,1291584,200
1780601792527619000,6158250,200
1780601792527805000,3177583,200
1780601792528021000,2979667,200
1780601792528491000,2469333,200
1780601792529151000,11336666,200
1780601792529362000,2026333,200
1780601792529373000,4418833,200
1780601792530989000,2535500,200
1780601792531000000,2489250,200
1780601792531052000,2756833,200
1780601792531079000,16358708,200
1780601792531086000,2444166,200
1780601792531116000,12497250,200
1780601792531408000,16011750,200
1780601792531427000,24454417,200
1780601792533519000,20774834,200
1780601792533544000,9778041,200
1780601792533547000,18269708,200
1780601792533569000,10582959,200
1780601792533783000,18846500,200
1780601792533812000,23127542,200
1780601792533824000,23503667,200
1780601792540513000,16731750,200
1780601792540513000,12778250,200
1780601792540516000,15776750,200
1780601792540531000,14735666,200
1780601792543357000,4205458,200
1780601792543620000,13676250,200
1780601792543654000,3913208,200
1780601792544156000,12692583,200
1780601792547458000,12893042,200
1780601792547451000,2060000,200
1780601792547545000,11911584,200
1780601792547572000,11915542,200
1780601792547571000,2569500,200
1780601792547580000,26511458,200
1780601792547589000,11484959,200
1780601792549519000,2582500,200
1780601792550162000,4783834,200
1780601792550679000,2145708,200
1780601792551850000,2078833,200
1780601792552112000,2858709,200
1780601792552652000,12662167,200
1780601792552838000,3133667,200
1780601792553307000,2638500,200
1780601792553969000,5084917,200
1780601792554304000,3008500,200
1780601792554958000,2439625,200
1780601792554987000,2795333,200
1780601792555297000,9514458,200
1780601792555904000,3081375,200
1780601792555965000,3034750,200
1780601792555979000,2660833,200
1780601792556304000,2336042,200
1780601792556863000,4678500,200
1780601792556947000,2310083,200
1780601792557260000,5953875,200
1780601792557302000,3398959,200
1780601792557317000,2342750,200
1780601792557335000,3664917,200
1780601792557404000,2608209,429
1780601792557787000,8337125,200
1780601792558655000,2467291,200
1780601792558657000,13127375,200
1780601792558998000,15590542,200
1780601792559027000,9322000,200
1780601792559062000,9963375,200
1780601792559081000,1550917,200
1780601792559267000,18676167,200
1780601792559465000,13357833,200
1780601792559493000,2012375,200
1780601792559667000,1891917,200
