start_ns,duration_ns,status
1780601415745459000,3262333,200
1780601415870053000,1803083,200
1780601415995528000,3130250,200
1780601416120464000,3031542,200
1780601416245477000,2449458,200
1780601416370480000,3253625,200
1780601416495468000,4148875,200
1780601416619627000,2390500,200
1780601416745457000,3027250,200
1780601416870446000,2245542,200
1780601416995474000,5586875,200
1780601417120470000,2074500,200
1780601417245468000,3237958,200
1780601417370088000,2026875,200
1780601417495450000,1829250,200
1780601417620430000,3529833,200
1780601417745473000,2800917,200
1780601417870475000,2163667,200
1780601417995411000,2456375,200
1780601418120426000,2917791,200
1780601418245406000,1650791,200
1780601418370447000,3466833,200
1780601418495442000,2663250,200
1780601418619567000,2370000,200
1780601418745482000,3100458,200
1780601418870446000,2267042,200
1780601418995477000,3313833,200
1780601419120408000,2969916,200
1780601419245412000,2364083,200
1780601419370404000,1832333,200
1780601419495477000,3038292,200
1780601419619571000,2133375,200
1780601419745399000,1314125,200
1780601419870446000,3002292,200
1780601419995419000,2321166,200
1780601420120411000,2126375,200
1780601420245422000,23201917,200
1780601420370390000,2372417,200
1780601420495421000,5338750,200
1780601420620388000,3272500,200
1780601420745352000,2101334,200
1780601420906466000,8713125,200
1780601420995351000,1154000,200
1780601421120365000,1266000,200
1780601421245378000,1963916,200
1780601421370364000,1798625,200
1780601421495360000,1456250,200
1780601421620383000,2824000,200
1780601421745386000,5664792,200
1780601421870368000,2948417,200
1780601421994762000,1356333,200
1780601422120012000,2284917,200
1780601422245349000,2982125,200
1780601422370374000,2784917,200
1780601422494830000,1907083,200
1780601422619387000,1523917,200
1780601422745401000,2697416,200
1780601422870347000,1572417,200
1780601422994836000,3543291,200
1780601423120425000,2241667,200
1780601423244602000,1978166,200
1780601423370401000,3069709,200
1780601423495367000,7224541,200
1780601423620463000,3083167,200
1780601423745452000,3051125,200
1780601423870409000,1945333,200
1780601423995333000,2638875,200
1780601424120294000,3259709,200
1780601424245312000,3106125,200
1780601424369427000,4598875,200
1780601424495340000,1972625,200
1780601424619817000,1479167,200
1780601424745314000,4199500,200
1780601424870336000,3274834,200
1780601424995305000,2001875,200
1780601425120305000,1969250,200
1780601425245328000,2164625,200
1780601425370277000,2068750,200
1780601425495312000,1618458,200
1780601425620282000,3087208,200
1780601425745256000,3027833,200
1780601425870277000,1804125,200
1780601425995276000,2079333,200
1780601426120426000,4926167,200
1780601426245278000,2412916,200
1780601426370299000,9439750,200
1780601426494369000,3282833,200
1780601426620328000,3300875,200
1780601426745252000,2749208,200
1780601426870248000,2002916,200
1780601426995254000,1827875,200
1780601427120249000,4663250,200
1780601427245264000,2413708,200
