t_ms,phase,code
61,p1,201
66,p1,201
66,p1,201
61,p1,201
66,p1,201
94,p1,201
94,p1,201
97,p1,201
98,p1,201
99,p1,201
131,p1,201
130,p1,201
133,p1,201
134,p1,201
134,p1,201
170,p1,201
170,p1,201
173,p1,201
173,p1,201
175,p1,201
198,p1,201
198,p1,201
200,p1,201
200,p1,201
202,p1,201
230,p1,201
233,p1,201
234,p1,201
234,p1,201
234,p1,201
5637,p2,000000
5637,p2,000000
5637,p2,000000
5637,p2,000000
5645,p2,000000
5667,p2,000000
5667,p2,000000
5668,p2,000000
5673,p2,000000
5677,p2,000000
5693,p2,000000
5695,p2,000000
5696,p2,000000
5701,p2,000000
5706,p2,000000
5721,p2,000000
5721,p2,000000
5721,p2,000000
5727,p2,000000
5734,p2,000000
5749,p2,000000
5749,p2,000000
5750,p2,000000
5755,p2,000000
5764,p2,000000
5777,p2,000000
5777,p2,000000
5777,p2,000000
5783,p2,000000
5790,p2,000000
18695,p3,201
18698,p3,201
18699,p3,201
18699,p3,201
18699,p3,201
18727,p3,201
18728,p3,201
18728,p3,201
18731,p3,201
18733,p3,201
18757,p3,201
18757,p3,201
18757,p3,201
18757,p3,201
18763,p3,201
18787,p3,201
18787,p3,201
18787,p3,201
18788,p3,201
18793,p3,201
18821,p3,201
18821,p3,201
18823,p3,201
18823,p3,201
18826,p3,201
18851,p3,201
18851,p3,201
18857,p3,201
18857,p3,201
18860,p3,201
