epoch_s,container,cpu_pct,mem_MiB
1781192707,backend-billing-prometheus-1,0.64,94.85
1781192707,backend-billing-api-1,0.00,34.45
1781192707,backend-billing-db-1,0.00,50.59
1781192707,backend-billing-jaeger-1,0.08,13.25
1781192707,minikube,47.44,1024
1781192712,backend-billing-prometheus-1,0.42,94.86
1781192712,backend-billing-api-1,0.00,34.56
1781192712,backend-billing-db-1,0.00,50.59
1781192712,backend-billing-jaeger-1,0.02,13.25
1781192712,minikube,15.35,1024
1781192718,backend-billing-prometheus-1,0.31,94.86
1781192718,backend-billing-api-1,0.00,34.22
1781192718,backend-billing-db-1,0.06,50.59
1781192718,backend-billing-jaeger-1,0.13,13.25
1781192718,minikube,52.59,1024
1781192723,backend-billing-prometheus-1,0.44,94.86
1781192723,backend-billing-api-1,0.00,34.23
1781192723,backend-billing-db-1,0.00,50.59
1781192723,backend-billing-jaeger-1,0.02,13.25
1781192723,minikube,20.99,1024
1781192728,backend-billing-prometheus-1,0.39,94.87
1781192728,backend-billing-api-1,0.00,34.23
1781192728,backend-billing-db-1,0.00,50.59
1781192728,backend-billing-jaeger-1,0.16,13.25
1781192728,minikube,25.41,1024
1781192733,backend-billing-prometheus-1,0.40,94.87
1781192733,backend-billing-api-1,0.00,34.12
1781192733,backend-billing-db-1,0.00,50.59
1781192733,backend-billing-jaeger-1,0.01,13.25
1781192733,minikube,24.17,1024
1781192738,backend-billing-prometheus-1,0.45,94.87
1781192738,backend-billing-api-1,0.00,34.12
1781192738,backend-billing-db-1,0.00,50.59
1781192738,backend-billing-jaeger-1,0.12,13.25
1781192738,minikube,25.15,1024
1781192742,backend-billing-prometheus-1,0.37,94.87
1781192742,backend-billing-api-1,0.70,34.13
1781192742,backend-billing-db-1,0.00,50.59
1781192742,backend-billing-jaeger-1,0.05,13.25
1781192742,minikube,22.92,1024
1781192747,backend-billing-prometheus-1,0.48,94.87
1781192747,backend-billing-api-1,0.00,34.22
1781192747,backend-billing-db-1,0.00,50.59
1781192747,backend-billing-jaeger-1,0.11,13.25
1781192747,minikube,23.65,1024
1781192753,backend-billing-prometheus-1,0.41,94.87
1781192753,backend-billing-api-1,0.00,34.23
1781192753,backend-billing-db-1,0.00,50.59
1781192753,backend-billing-jaeger-1,0.06,13.25
1781192753,minikube,27.35,1024
1781192758,backend-billing-prometheus-1,0.45,94.87
1781192758,backend-billing-api-1,0.00,34.23
1781192758,backend-billing-db-1,0.00,50.59
1781192758,backend-billing-jaeger-1,0.01,13.25
1781192758,minikube,18.85,1024
1781192763,backend-billing-prometheus-1,0.48,94.87
